,Date,,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
80,17-12-2022,RTC,5434.88,5434.88,5434.88,5434.88,5434.88,5434.88,5434.88,5434.88,5434.88,5434.88,5434.88,5434.88,5434.88,5434.88
81,17-12-2022,Evening,6441.47,6441.47,6441.47,6441.47,6441.47,6441.47,6441.47,6441.47,6441.47,6441.47,6441.47,6441.47,6441.47,6441.47
82,17-12-2022,Day,5227.81,5227.81,5227.81,5227.81,5227.81,5227.81,5227.81,5227.81,5227.81,5227.81,5227.81,5227.81,5227.81,5227.81
83,17-12-2022,Night,3096.09,3096.09,3096.09,3096.09,3096.09,3096.09,3096.09,3096.09,3096.09,3096.09,3096.09,3096.09,3096.09,3096.09
84,17-12-2022,Morning,8380.3,8380.3,8380.3,8380.3,8380.3,8380.3,8380.3,8380.3,8380.3,8380.3,8380.3,8380.3,8380.3,8380.3
85,18-12-2022,RTC,4886.8,4886.8,4886.8,4886.8,4886.8,4886.8,4886.8,4886.8,4886.8,4886.8,4886.8,4886.8,4886.8,4886.8
86,18-12-2022,Evening,5374.87,5374.87,5374.87,5374.87,5374.87,5374.87,5374.87,5374.87,5374.87,5374.87,5374.87,5374.87,5374.87,5374.87
87,18-12-2022,Day,4967.57,4967.57,4967.57,4967.57,4967.57,4967.57,4967.57,4967.57,4967.57,4967.57,4967.57,4967.57,4967.57,4967.57
88,18-12-2022,Night,3102.32,3102.32,3102.32,3102.32,3102.32,3102.32,3102.32,3102.32,3102.32,3102.32,3102.32,3102.32,3102.32,3102.32
89,18-12-2022,Morning,7136.21,7136.21,7136.21,7136.21,7136.21,7136.21,7136.21,7136.21,7136.21,7136.21,7136.21,7136.21,7136.21,7136.21
90,19-12-2022,RTC,5925.16,5925.16,5925.16,5925.16,5925.16,5925.16,5925.16,5925.16,5925.16,5925.16,5925.16,5925.16,5925.16,5925.16
91,19-12-2022,Evening,7537.79,7537.79,7537.79,7537.79,7537.79,7537.79,7537.79,7537.79,7537.79,7537.79,7537.79,7537.79,7537.79,7537.79
92,19-12-2022,Day,6072.02,6072.02,6072.02,6072.02,6072.02,6072.02,6072.02,6072.02,6072.02,6072.02,6072.02,6072.02,6072.02,6072.02
93,19-12-2022,Night,3132.95,3132.95,3132.95,3132.95,3132.95,3132.95,3132.95,3132.95,3132.95,3132.95,3132.95,3132.95,3132.95,3132.95
94,19-12-2022,Morning,8135.6,8135.6,8135.6,8135.6,8135.6,8135.6,8135.6,8135.6,8135.6,8135.6,8135.6,8135.6,8135.6,8135.6
95,20-12-2022,RTC,5734.4,5734.4,5734.4,5734.4,5734.4,5734.4,5734.4,5734.4,5734.4,5734.4,5734.4,5734.4,5734.4,5734.4
96,20-12-2022,Evening,7719.93,7719.93,7719.93,7719.93,7719.93,7719.93,7719.93,7719.93,7719.93,7719.93,7719.93,7719.93,7719.93,7719.93
97,20-12-2022,Day,5741.38,5741.38,5741.38,5741.38,5741.38,5741.38,5741.38,5741.38,5741.38,5741.38,5741.38,5741.38,5741.38,5741.38
